date,cash,open_value,equity,peak,drawdown_usd,drawdown_pct
2025-11-26,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-11-28,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-12-01,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-12-02,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-12-03,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-12-04,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-12-05,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-12-08,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-12-09,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-12-10,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-12-11,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-12-12,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-12-15,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-12-16,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-12-17,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-12-18,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-12-19,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-12-22,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-12-23,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-12-24,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-12-26,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-12-29,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-12-30,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2025-12-31,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2026-01-02,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2026-01-05,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2026-01-06,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2026-01-07,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2026-01-08,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2026-01-09,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2026-01-12,296837.7,0.0,296837.7,302743.01,-5905.31,-1.9506
2026-01-13,276837.7,20000.0,296837.7,302743.01,-5905.31,-1.9506
2026-01-14,276837.7,21031.58,297869.28,302743.01,-4873.73,-1.6099
2026-01-15,276837.7,20477.8,297315.5,302743.01,-5427.51,-1.7928
2026-01-16,276837.7,20812.26,297649.96,302743.01,-5093.05,-1.6823
2026-01-20,276837.7,19992.56,296830.26,302743.01,-5912.75,-1.9531
2026-01-21,276837.7,20070.55,296908.25,302743.01,-5834.76,-1.9273
2026-01-22,276837.7,19876.85,296714.55,302743.01,-6028.46,-1.9913
2026-01-23,276837.7,20078.39,296916.09,302743.01,-5826.92,-1.9247
2026-01-26,276837.7,19938.95,296776.65,302743.01,-5966.36,-1.9708
2026-01-27,276837.7,20018.48,296856.18,302743.01,-5886.83,-1.9445
2026-01-28,296386.76,0.0,296386.76,302743.01,-6356.25,-2.0996
2026-01-29,296386.76,0.0,296386.76,302743.01,-6356.25,-2.0996
2026-01-30,296386.76,0.0,296386.76,302743.01,-6356.25,-2.0996
2026-02-02,296386.76,0.0,296386.76,302743.01,-6356.25,-2.0996
2026-02-03,296386.76,0.0,296386.76,302743.01,-6356.25,-2.0996
2026-02-04,296386.76,0.0,296386.76,302743.01,-6356.25,-2.0996
2026-02-05,296386.76,0.0,296386.76,302743.01,-6356.25,-2.0996
2026-02-06,296386.76,0.0,296386.76,302743.01,-6356.25,-2.0996
2026-02-09,286386.76,10000.0,296386.76,302743.01,-6356.25,-2.0996
2026-02-10,286386.76,10185.71,296572.47,302743.01,-6170.54,-2.0382
2026-02-11,286386.76,10304.31,296691.07,302743.01,-6051.94,-1.999
2026-02-12,286386.76,10112.16,296498.92,302743.01,-6244.09,-2.0625
2026-02-13,286386.76,10221.57,296608.33,302743.01,-6134.68,-2.0264
2026-02-17,286386.76,10183.87,296570.63,302743.01,-6172.38,-2.0388
2026-02-18,286386.76,10277.65,296664.41,302743.01,-6078.6,-2.0078
2026-02-19,286386.76,10177.44,296564.2,302743.01,-6178.81,-2.0409
